"iso3c","gni_per_capita","learning_poverty","unicef_total_closed","internet_users","EG.ELC.ACCS.ZS","population"
"AFG",500,93.447998046875,240,18.4,97.6999969482422,38972230
"ALB",5260,16.4786415100098,99,72.23767711,100,2837849
"ARE",41770,32.8329238891602,208,100,100,9287289
"ARG",9010,59.1471900939941,260,85.5,100,45376763
"ARM",4470,27.2411460876465,53,76.50770055,100,2805608
"AUS",53620,8.56343173980713,116,89.6,100,25655289
"AUT",48990,13.2686262130737,138,87.52942813,100,8916864
"AZE",4480,23.2810325622559,196,84.59999573,100,10093121
"BDI",220,95.8188552856445,0,9.4,11.7355556488037,12220227
"BEL",46030,6.36830902099609,92,91.52641629,100,11538604
"BEN",1230,55.7761039733887,48,25.8,41.4109573364258,12643123
"BFA",750,73.8611907958984,64,22,18.957239151001,21522626
"BGD",2300,58.2190971374512,376,24.8,96.1999969482422,167420951
"BGR",9520,15.2026128768921,164,70.16248359,99.6999969482422,6934015
"BHR",22950,32.0882186889648,276,99.67105263,100,1477469
"BLZ",5210,76.4140396118164,292,50.8,97.1133346557617,394921
"BRA",7820,46.8978614807129,293,81.34269353,100,213196304
"BWA",6010,50.8376502990723,104,64,71.994758605957,2546402
"CAN",43540,4.30185747146606,162,92.3,100,38037204
"CHL",12990,27.1904296875,207,88.3,100,19300315
"CHN",10520,18.2000007629395,98,70.05275998,100,1411100000
"CIV",2240,82.617301940918,50,36.28895457,69.6791229248047,26811790
"CMR",1520,71.9326171875,66,37.8,64.7213668823242,26491087
"COD",540,96.6015014648438,142,13.6,19.1000003814697,92853164
"COG",1760,70.0140151977539,123,8.65,49.5171012878418,5702174
"COL",5820,51.3569412231445,250,69.79,100,50930662
"COM",1520,86.0233459472656,160,8.478170295,86.7371368408203,806166
"CRI",11520,34.0240669250488,314,80.53018608,99.9000015258789,5123105
"CYP",26600,9.93819236755371,100,90.80194723,100,1237537
"CZE",21800,13.8249015808105,163,81.33889705,100,10697858
"DEU",48050,14.3534126281738,130,89.81294133,100,83160871
"DNK",62710,3.5744936466217,110,96.54914573,100,5831404
"DOM",7170,77.7178573608398,222,76.9,100,10999664
"DZA",3600,67.9034805297852,115,62.9,99.8041305541992,43451666
"ECU",5560,65.937126159668,328,70.7,98.8499984741211,17588595
"EGY",2860,69.5732727050781,91,71.91420097,100,107465134
"ESP",27130,4.536696434021,62,93.20564892,100,47365655
"ETH",880,90.3896408081055,209,24,51.0939826965332,117190911
"FIN",50100,2.57458782196045,104,92.17027106,100,5529543
"FRA",39440,6.87060546875,47,84.8,100,67571107
"GAB",6830,30.6775608062744,94,62,91.5715637207031,2292573
"GBR",38590,3.51251006126404,104,94.81820132,100,67081000
"GEO",4260,15.2939538955688,134,72.53158402,100,3722716
"GIN",960,82.6748275756836,109,26,44.6686782836914,13205153
"GRC",17960,7.68641948699951,138,78.11584474,100,10698599
"GTM",4490,78.5161895751953,298,49.97,97.0552673339844,16858333
"HND",2150,79.2916030883789,392,42.05,93.2067108154297,10121763
"HRV",14820,4.46202945709229,45,78.32093274,100,4047680
"HUN",16030,5.90329837799072,148,84.77115202,100,9750149
"IDN",3900,52.82275390625,282,53.72649449,96.9499969482422,271857970
"IND",1890,56.0705604553223,296,43,99,1396387127
"IRL",65330,2.3441469669342,118,91.99989097,100,4985382
"IRN",3290,35.2363204956055,250,75.56986637,100,87290193
"ISL",62280,9.32339096069336,16,99,100,366463
"ISR",43310,11.6623439788818,121,90.12734091,100,9215100
"ITA",32410,4.39171457290649,128,70.48342785,100,59438851
"JOR",4070,62.5482139587402,246,65.2,99.9000015258789,10928721
"JPN",40810,3.56050634384155,38,90.21945812,100,126261000
"KAZ",8710,2.18612122535706,154,85.94259898,100,18755666
"KGZ",1180,64.4912490844727,104,72,99.9810485839844,6579900
"KHM",1530,90.0033493041992,296,32.90027854,86.4000015258789,16396860
"KOR",33040,3.23008060455322,228,96.50505968,100,51836239
"LAO",2470,97.71728515625,195,54,100,7319399
"LKA",3930,14.8060674667358,309,35,100,21919000
"LSO",1150,97.0118789672852,134,43,47.3527374267578,2254100
"LTU",19680,2.98321270942688,120,83.05555096,100,2794885
"LUX",79580,2.95047807693481,60,98.82242384,100,630419
"LVA",18240,3.98496890068054,160,88.89796078,100,1900449
"MAR",3250,64.9004364013672,138,84.12036305,100,36688772
"MDA",4490,11.0100898742676,80,76.12451989,100,2635130
"MDG",460,93.9357452392578,94,15,33.7350769042969,28225177
"MEX",8750,47.6341781616211,338,71.96819405,99.4000015258789,125998302
"MKD",5730,40.8614616394043,186,81.40553811,100,2072531
"MLI",790,90.438362121582,72,27.4,50.5614166259766,21224040
"MLT",26440,27.9603939056396,97,86.85876416,100,515332
"MMR",1370,89.4679412841797,345,35.1,70.3971939086914,53423198
"MNE",7900,27.1038455963135,188,77.60879306,100,621306
"MNG",3720,39.4648284912109,209,62.50002848,98.0999984741211,3294335
"MRT",1790,94.7653198242188,118,40.8,47.3484191894531,4498604
"MUS",9940,40.457878112793,123,64.88490358,99.6616516113281,1265740
"MYS",10320,42.025634765625,280,89.55501192,100,33199993
"NER",550,90.4368209838867,83,10.22431156,19.2519092559814,24333639
"NIC",1740,78.9034957885742,38,45.2,88.9073791503906,6755895
"NLD",50170,2.26857662200928,108,91.33333333,100,17441500
"NOR",77880,5.97042989730835,84,97.00000121,100,5379475
"NZL",41480,11.3529071807861,88,91.5,100,5090200
"OMN",17110,41.7644920349121,186,95.23229321,100,4543399
"PAK",1420,76.9840621948242,244,25,75.3796920776367,227196741
"PAN",12470,78.5126113891602,358,64.25,96.7046356201172,4294396
"PER",6000,44.4424438476562,280,65.25179881,99.3118133544922,33304756
"PHL",3350,90.9132614135742,380,49.8,96.8423843383789,112190977
"POL",15300,4.7760329246521,176,83.18488715,100,37899070
"PRT",21850,6.01780652999878,90,78.26166044,100,10297081
"PRY",5550,77.744010925293,262,73.95751114,100,6618695
"QAT",58370,35.652473449707,212,99.65284913,100,2760385
"ROU",12700,17.8603286743164,146,78.45526741,100,19265250
"RUS",10740,3.53423571586609,48,84.99467026,100,144073139
"SAU",21540,38.2237663269043,296,97.8623325,100,35997107
"SEN",1460,68.568229675293,86,42.6,70.3689422607422,16436120
"SGP",55010,2.75737547874451,52,92.00434653,100,5685807
"SLV",3740,69.0736236572266,336,54.60137027,100,6292731
"SRB",7440,9.84429931640625,194,78.36804077,100,6899126
"SVK",19180,23.1746120452881,121,89.9209082,100,5458827
"SVN",25400,5.43238401412964,170,86.60130109,100,2102419
"SWE",54740,2.31327867507935,60,94.53943122,100,10353442
"TCD",630,94.4105453491211,128,10.4,11.080117225647,16644701
"TGO",900,81.6579208374023,60,24,53.9974327087402,8442580
"THA",6900,23.4157752990723,218,77.84374066,100,71475664
"TTO",13830,20.6445827484131,248,70.6,100,1518147
"TUN",3230,65.5328598022461,134,71.9,100,12161723
"TUR",9070,14.503026008606,194,77.66956038,100,84135428
"UGA",740,81.9233627319336,388,6.1,42.0744171142578,44404611
"UKR",3570,27.8803100585938,122,75.03790912,100,44132049
"URY",15950,43.6183662414551,126,86.1,100,3429086
"USA",64650,4.25183010101318,193,90.9,100,331501080
"VNM",3450,18.1209163665771,132,70.3,100,96648685
"ZAF",6090,78.9094924926758,196,70,84.3855361938477,58801927
"ZMB",1130,98.5042114257812,106,19.8,44.5244750976563,18927715
